[2018-05-26 18:29:25] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:29:25] | GigEVisionManager.cpp-L2755: event thread start...
[2018-05-26 18:29:25] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-26 18:29:26] | GigEVisionManager.cpp-L1158: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-05-26 18:29:26] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[-1496459520]
[2018-05-26 18:29:26] | GigEVisionManager.cpp-L4506: throw frame from list[1], CurFrameNum[3], LastFrame[1]
[2018-05-27 00:21:24] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-05-27 00:21:24] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:21:24] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:21:24] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a80166], hostPort[55700], devIP[c0a80169]
[2018-05-27 00:21:24] | GigEVisionManager.cpp-L0578: m_nUpNetExport[c0a80166], m_nUpDevIP[c0a80169]
[2018-05-27 00:21:24] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:21:24] | GigEVisionManager.cpp-L2755: event thread start...
[2018-05-27 00:21:25] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:21:25] | GigEVisionManager.cpp-L1158: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-05-27 00:21:25] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[-1558550784]
[2018-05-27 00:21:27] | GigEVisionManager.cpp-L4506: throw frame from list[4], CurFrameNum[6], LastFrame[1]
[2018-05-27 00:21:29] | GigEVisionManager.cpp-L4506: throw frame from list[10], CurFrameNum[13], LastFrame[6]
[2018-05-27 00:21:31] | GigEVisionManager.cpp-L4506: throw frame from list[15], CurFrameNum[19], LastFrame[13]
[2018-05-27 00:21:32] | GigEVisionManager.cpp-L4506: throw frame from list[19], CurFrameNum[24], LastFrame[19]
[2018-05-27 00:21:34] | GigEVisionManager.cpp-L4506: throw frame from list[24], CurFrameNum[30], LastFrame[24]
[2018-05-27 00:21:35] | GigEVisionManager.cpp-L4506: throw frame from list[28], CurFrameNum[35], LastFrame[30]
[2018-05-27 00:21:36] | GigEVisionManager.cpp-L4506: throw frame from list[33], CurFrameNum[41], LastFrame[35]
[2018-05-27 00:21:38] | GigEVisionManager.cpp-L4506: throw frame from list[37], CurFrameNum[46], LastFrame[41]
[2018-05-27 00:21:39] | GigEVisionManager.cpp-L4506: throw frame from list[41], CurFrameNum[51], LastFrame[46]
[2018-05-27 00:21:41] | GigEVisionManager.cpp-L4506: throw frame from list[45], CurFrameNum[56], LastFrame[51]
[2018-05-27 00:21:42] | GigEVisionManager.cpp-L4506: throw frame from list[49], CurFrameNum[61], LastFrame[56]
[2018-05-27 00:21:43] | GigEVisionManager.cpp-L4506: throw frame from list[53], CurFrameNum[66], LastFrame[61]
[2018-05-27 00:21:44] | GigEVisionManager.cpp-L4506: throw frame from list[57], CurFrameNum[71], LastFrame[66]
[2018-05-27 00:21:46] | GigEVisionManager.cpp-L4506: throw frame from list[62], CurFrameNum[77], LastFrame[71]
[2018-05-27 00:21:47] | GigEVisionManager.cpp-L4506: throw frame from list[66], CurFrameNum[82], LastFrame[77]
[2018-05-27 00:21:49] | GigEVisionManager.cpp-L4506: throw frame from list[70], CurFrameNum[87], LastFrame[82]
[2018-05-27 00:21:50] | GigEVisionManager.cpp-L4506: throw frame from list[75], CurFrameNum[93], LastFrame[87]
[2018-05-27 00:21:53] | GigEVisionManager.cpp-L4506: throw frame from list[83], CurFrameNum[102], LastFrame[93]
[2018-05-27 00:21:55] | GigEVisionManager.cpp-L4506: throw frame from list[92], CurFrameNum[112], LastFrame[102]
[2018-05-27 00:21:58] | GigEVisionManager.cpp-L4506: throw frame from list[102], CurFrameNum[123], LastFrame[112]
[2018-05-27 00:22:00] | GigEVisionManager.cpp-L4506: throw frame from list[110], CurFrameNum[132], LastFrame[123]
[2018-05-27 00:22:03] | GigEVisionManager.cpp-L4506: throw frame from list[117], CurFrameNum[140], LastFrame[132]
[2018-05-27 00:22:05] | GigEVisionManager.cpp-L4506: throw frame from list[125], CurFrameNum[149], LastFrame[140]
[2018-05-27 00:22:07] | GigEVisionManager.cpp-L4506: throw frame from list[133], CurFrameNum[158], LastFrame[149]
[2018-05-27 00:22:10] | GigEVisionManager.cpp-L4506: throw frame from list[141], CurFrameNum[167], LastFrame[158]
[2018-05-27 00:22:12] | GigEVisionManager.cpp-L4506: throw frame from list[149], CurFrameNum[176], LastFrame[167]
[2018-05-27 00:22:14] | GigEVisionManager.cpp-L4506: throw frame from list[156], CurFrameNum[184], LastFrame[176]
[2018-05-27 00:22:16] | GigEVisionManager.cpp-L4506: throw frame from list[164], CurFrameNum[193], LastFrame[184]
[2018-05-27 00:22:19] | GigEVisionManager.cpp-L4506: throw frame from list[171], CurFrameNum[201], LastFrame[193]
[2018-05-27 00:22:21] | GigEVisionManager.cpp-L4506: throw frame from list[178], CurFrameNum[209], LastFrame[201]
[2018-05-27 00:22:23] | GigEVisionManager.cpp-L4506: throw frame from list[185], CurFrameNum[217], LastFrame[209]
[2018-05-27 00:22:25] | GigEVisionManager.cpp-L4506: throw frame from list[192], CurFrameNum[225], LastFrame[217]
[2018-05-27 00:22:26] | GigEVisionManager.cpp-L4506: throw frame from list[196], CurFrameNum[230], LastFrame[225]
[2018-05-27 00:22:27] | GigEVisionManager.cpp-L4506: throw frame from list[200], CurFrameNum[235], LastFrame[230]
[2018-05-27 00:22:29] | GigEVisionManager.cpp-L4506: throw frame from list[206], CurFrameNum[242], LastFrame[235]
[2018-05-27 00:22:31] | GigEVisionManager.cpp-L4506: throw frame from list[212], CurFrameNum[249], LastFrame[242]
[2018-05-27 00:22:33] | GigEVisionManager.cpp-L4506: throw frame from list[219], CurFrameNum[257], LastFrame[249]
[2018-05-27 00:22:35] | GigEVisionManager.cpp-L4506: throw frame from list[226], CurFrameNum[265], LastFrame[257]
[2018-05-27 00:22:37] | GigEVisionManager.cpp-L4506: throw frame from list[232], CurFrameNum[272], LastFrame[265]
[2018-05-27 00:22:39] | GigEVisionManager.cpp-L4506: throw frame from list[240], CurFrameNum[281], LastFrame[272]
[2018-05-27 00:24:34] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-05-27 00:24:34] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:24:34] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:24:34] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[c0a80166], hostPort[51433], devIP[c0a80169]
[2018-05-27 00:24:34] | GigEVisionManager.cpp-L0578: m_nUpNetExport[c0a80166], m_nUpDevIP[c0a80169]
[2018-05-27 00:24:34] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:24:34] | GigEVisionManager.cpp-L2755: event thread start...
[2018-05-27 00:24:34] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
[2018-05-27 00:24:35] | GigEVisionManager.cpp-L1158: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-05-27 00:24:35] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[-650688768]
[2018-05-27 00:24:35] | GigEVisionManager.cpp-L4486: Lost Frame From Net[294], Total Frame Count[295], NetCount[1], CurBlock[295], LastBlock[0]
[2018-05-27 00:24:37] | GigEVisionManager.cpp-L4506: throw frame from list[4], CurFrameNum[300], LastFrame[295]
[2018-05-27 00:24:38] | GigEVisionManager.cpp-L4506: throw frame from list[9], CurFrameNum[306], LastFrame[300]
[2018-05-27 00:24:40] | GigEVisionManager.cpp-L4506: throw frame from list[14], CurFrameNum[312], LastFrame[306]
[2018-05-27 00:24:41] | GigEVisionManager.cpp-L4506: throw frame from list[18], CurFrameNum[317], LastFrame[312]
[2018-05-27 00:24:42] | GigEVisionManager.cpp-L4506: throw frame from list[22], CurFrameNum[322], LastFrame[317]
[2018-05-27 00:24:44] | GigEVisionManager.cpp-L4506: throw frame from list[26], CurFrameNum[327], LastFrame[322]
[2018-05-27 00:24:45] | GigEVisionManager.cpp-L4506: throw frame from list[30], CurFrameNum[332], LastFrame[327]
[2018-05-27 00:24:46] | GigEVisionManager.cpp-L4506: throw frame from list[34], CurFrameNum[337], LastFrame[332]
[2018-05-27 00:24:49] | GigEVisionManager.cpp-L4506: throw frame from list[42], CurFrameNum[346], LastFrame[337]
[2018-05-27 00:24:50] | GigEVisionManager.cpp-L4506: throw frame from list[47], CurFrameNum[352], LastFrame[346]
[2018-05-27 00:24:52] | GigEVisionManager.cpp-L4506: throw frame from list[54], CurFrameNum[360], LastFrame[352]
[2018-05-27 00:24:55] | GigEVisionManager.cpp-L4506: throw frame from list[62], CurFrameNum[369], LastFrame[360]
[2018-05-27 00:25:32] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-05-27 00:25:32] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[c0a80166]
